artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin,cluster
Nicki Minaj,Starships,2EBCVPNAG46nbgs6jXPGvv,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.7509999999999999,125.008,210627,4,0.0,3
PNAU,Wild Strawberries,6pGUGTIaZ1H4jKHIL4Fged,0.647,0.9329999999999999,7,-4.056,1,0.111,0.00035099999999999997,0.00277,0.33399999999999996,0.332,119.921,235107,4,0.0,2
Stromae,Papaoutai,09TcIuH1ZO7i4vicWKoaN2,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.01899999999999,232147,4,0.0,3
Eurythmics,Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.6920000000000001,0.711,0,-7.497999999999999,0,0.0317,0.225,0.0,0.12,0.875,125.135,216933,4,0.0,3
Led Zeppelin,Rock and Roll - 1990 Remaster,3w2GGz0HjIu9OcWXINRFJR,0.327,0.895,9,-7.428,1,0.0367,0.0005639999999999999,0.0159,0.10400000000000001,0.898,169.39,219800,4,0.0,2
Jason Derulo,Talk Dirty (feat. 2 Chainz),4X4tgBEUiT6WqB2oTJ5ynH,0.76,0.652,6,-7.321000000000001,1,0.23199999999999998,0.0348,0.0,0.307,0.759,100.315,177685,4,0.0,6
Naughty Boy,La La La,36pLU2ywVeBKEF0rrKtmCB,0.772,0.65,6,-5.202000000000001,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.08200000000001,222200,4,0.0,3
David Guetta,Play Hard (feat. Ne-Yo & Akon),0BBZuOGGBj9u4X3rAfmae8,0.691,0.9209999999999999,8,-1.702,0,0.0533,0.17300000000000001,0.0,0.331,0.8,130.072,201000,4,0.0,3
Pitbull,Feel This Moment (feat. Christina Aguilera),1obZSxOoO12yWkwY1kY72N,0.6729999999999999,0.758,7,-3.6319999999999997,1,0.158,0.039,0.0,0.341,0.542,135.95600000000002,229507,4,0.0,1
John Newman,Love Me Again,1a1r5s7ivXUVQQrIvo5VSs,0.5,0.892,2,-4.7139999999999995,0,0.0433,0.00445,0.00042199999999999996,0.0969,0.233,126.01899999999999,239894,4,0.0,2
